s8000,Movie,Shaurya: It Takes Courage to Make Right... Right,Samar Khan,"Rahul Bose, Javed Jaffrey, Minissha Lamba, Seema Biswas, Deepak Dobriyal, Kay Kay Menon, Amrita Rao, Rosa Catalano, Subrat Dutta, Priyesh Kaushik",India,"March 1, 2018",2008,TV-14,135 min,"Dramas, International Movies",Courtroom intrigue plays out against a backdrop of military secrets in this Bollywood drama with a plot that's reminiscent of A Few Good Men.
s8001,Movie,She Did That,,"Luvvie Ajayi, Renae Bluitt, Melissa Butler, Lisa Price, Tonya Rapley",United States,"February 4, 2020",2019,TV-PG,71 min,Documentaries,"Go inside the lives of extraordinary, black female entrepreneurs as they discuss building legacies and pioneering a new future for the next generation."
s8002,Movie,Shelter,"Måns Mårlind, Björn Stein","Julianne Moore, Jonathan Rhys Meyers, Jeffrey DeMunn, Frances Conroy, Nate Corddry, Brooklynn Proulx, Brian Anthony Wilson, Joyce Feurring, Steven Rishard, Charles Techman",United States,"December 29, 2017",2010,R,112 min,"Horror Movies, Thrillers",A forensic psychiatrist has to think outside the box when she takes on a patient whose multiple personalities lead to a trail of murder victims.
s8003,TV Show,Sherlock,,"Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves, Mark Gatiss, Andrew Scott","United Kingdom, United States","May 15, 2017",2017,TV-14,4 Seasons,"British TV Shows, Crime TV Shows, International TV Shows","In this updated take on Sir Arthur Conan Doyle's beloved mystery tales, the eccentric sleuth prowls the streets of modern London in search of clues."
s8004,Movie,Sherlock Holmes,Guy Ritchie,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong, Eddie Marsan, Robert Maillet, Geraldine James, Kelly Reilly, William Houston, James Fox, Hans Matheson","United States, Germany, United Kingdom, Australia","January 1, 2021",2009,PG-13,128 min,"Action & Adventure, Comedies",The game is afoot for an eccentric detective who must use his brains and brawn to track down a nefarious nemesis with the help of his partner.
s8005,Movie,Shiva,Ram Gopal Varma,"Nagarjuna Akkineni, Amala, Rajendranath Zutshi, Raghuvaran, Paresh Rawal, Brij Gopal, J.D. Chakravarthi, Tanikella Bharani",India,"December 31, 2019",1990,TV-MA,168 min,"Action & Adventure, Dramas, International Movies","A young man enrolls at a college and becomes a rival to the student-union president, who’s using force and intimidation to advance his criminal agenda."
s8006,Movie,Shopkins: Chef Club,Raymond McGrath,"Erika Harlacher, Marieve Herington, David Lodge, Cassandra Morris, Kate Murphy, Abby Trott",United States,"November 15, 2018",2016,TV-Y,45 min,Movies,"In this first full Shopkins movie, Peppa-Mint is the new Shoppie in town who stirs things up by hosting a team cooking competition."
s8007,Movie,Shopkins: Wild,"Adele K. Thomas, Richard Bailey","Kate Murphy, Cassandra Morris, Kayli Mills, Abby Trott, Brianna Plantano, Laura Stahl, Philece Sampler",Australia,"November 15, 2018",2018,TV-Y,75 min,Movies,Beloved movie star Scarletta Gateau visits Shopville and recruits the Shopkins for a quest through the jungle to the mysterious world of Pawville.
s8008,Movie,Shopkins: World Vacation,Richard Bailey,"Kate Murphy, Cassandra Morris, Erika Harlacher, Abby Trott, Brianna Plantano, Reba Buhr, Doug Erholtz, Cherami Leigh, Brianna Knickerbocker",Australia,"November 15, 2018",2017,TV-Y,71 min,Movies,"The Shopkins and Shoppies jet around the world in search of missing friend Kooky Cookie, a stolen diamond and more vloggable adventure."
s8009,Movie,Shorgul,"Jitendra Tiwari, Pranav Singh","Ashutosh Rana, Jimmy Shergill, Suha Gezen, Sanjay Suri, Narendra Jha, Hiten Tejwani, Eijaz Khan, Aniruddha Dave",India,"October 30, 2018",2016,TV-14,122 min,"Dramas, International Movies",A Hindu boy's feelings for a Muslim girl expose the tensions between their two communities and open the door to chaos and violence.
s8010,Movie,Short Term 12,Destin Daniel Cretton,"Brie Larson, John Gallagher Jr., Kaitlyn Dever, Rami Malek, Lakeith Stanfield, Kevin Hernandez, Melora Walters, Stephanie Beatriz, Lydia Du Veaux, Alex Calloway, Frantz Turner",United States,"July 18, 2019",2013,R,97 min,"Dramas, Independent Movies","A new charge at a foster care facility dredges up the memories of a young supervisor's own troubled past, and her tough exterior begins eroding."
